office,district,candidate,party,county,votes
State Representative,59,CHRIS HAGENOW,Republican,Polk,8240
State Representative,59,OVER VOTES,,Polk,6
State Representative,59,UNDER VOTES,,Polk,761
State Representative,59,SCATTERING,,Polk,21
State Representative,59,TOTAL,,Polk,17175
State Representative,59,JERRY SULLIVAN,Democrat,Total,8147
State Representative,59,CHRIS HAGENOW,Republican,Total,8240
State Representative,59,OVER VOTES,,Total,6
State Representative,59,UNDER VOTES,,Total,761
State Representative,59,SCATTERING,,Total,21
State Representative,59,TOTAL,,Total,17175
State Representative,60,ALAN R. KOSLOW,Democrat,Polk,6874
State Representative,60,PETER COWNIE,Republican,Polk,8905
State Representative,60,RUSS GIBSON,Libertarian Party,Polk,499
State Representative,60,OVER VOTES,,Polk,8
State Representative,60,UNDER VOTES,,Polk,1019
State Representative,60,SCATTERING,,Polk,16
State Representative,60,TOTAL,,Polk,17321
State Representative,60,ALAN R. KOSLOW,Democrat,Total,6874
State Representative,60,PETER COWNIE,Republican,Total,8905
State Representative,60,RUSS GIBSON,Libertarian Party,Total,499
State Representative,60,OVER VOTES,,Total,8
State Representative,60,UNDER VOTES,,Total,1019
State Representative,60,SCATTERING,,Total,16
State Representative,60,TOTAL,,Total,17321
State Representative,61,JO OLDSON,Democrat,Polk,10519
State Representative,61,ERIC KOHLSDORF,Republican,Polk,5213
State Representative,61,OVER VOTES,,Polk,2
State Representative,61,UNDER VOTES,,Polk,1001
State Representative,61,SCATTERING,,Polk,37
State Representative,61,TOTAL,,Polk,16772
State Representative,61,JO OLDSON,Democrat,Total,10519
State Representative,61,ERIC KOHLSDORF,Republican,Total,5213
State Representative,61,OVER VOTES,,Total,2
State Representative,61,UNDER VOTES,,Total,1001
State Representative,61,SCATTERING,,Total,37
State Representative,61,TOTAL,,Total,16772
State Representative,62,BRUCE HUNTER,Democrat,Polk,7381
State Representative,62,CHRIS SANGER,Republican,Polk,4261
State Representative,62,OVER VOTES,,Polk,8
State Representative,62,UNDER VOTES,,Polk,766
State Representative,62,SCATTERING,,Polk,19
State Representative,62,TOTAL,,Polk,12435
State Representative,62,BRUCE HUNTER,Democrat,Total,7381
State Representative,62,CHRIS SANGER,Republican,Total,4261
State Representative,62,OVER VOTES,,Total,8
State Representative,62,UNDER VOTES,,Total,766
State Representative,62,SCATTERING,,Total,19
State Representative,62,TOTAL,,Total,12435
State Representative,63,NITA GARVIN,Democrat,Polk,7251
State Representative,63,SCOTT RAECKER,Republican,Polk,11265
State Representative,63,OVER VOTES,,Polk,3
State Representative,63,UNDER VOTES,,Polk,1305
State Representative,63,SCATTERING,,Polk,26
State Representative,63,TOTAL,,Polk,19850
State Representative,63,NITA GARVIN,Democrat,Total,7251
State Representative,63,SCOTT RAECKER,Republican,Total,11265
State Representative,63,OVER VOTES,,Total,3
State Representative,63,UNDER VOTES,,Total,1305
State Representative,63,SCATTERING,,Total,26
State Representative,63,TOTAL,,Total,19850
State Representative,64,JANET PETERSEN,Democrat,Polk,10259
State Representative,64,STEVE SVEJDA,Republican,Polk,5034
State Representative,64,OVER VOTES,,Polk,6
State Representative,64,UNDER VOTES,,Polk,1096
State Representative,64,SCATTERING,,Polk,30
State Representative,64,TOTAL,,Polk,16425
State Representative,64,JANET PETERSEN,Democrat,Total,10259
State Representative,64,STEVE SVEJDA,Republican,Total,5034
State Representative,64,OVER VOTES,,Total,6
State Representative,64,UNDER VOTES,,Total,1096
State Representative,64,SCATTERING,,Total,30
State Representative,64,TOTAL,,Total,16425
State Representative,65,WAYNE W. FORD,Democrat,Polk,7870
State Representative,65,DAVID BARNETT,Republican,Polk,3422
State Representative,65,OVER VOTES,,Polk,6
State Representative,65,UNDER VOTES,,Polk,788
State Representative,65,SCATTERING,,Polk,41
State Representative,65,TOTAL,,Polk,12127
State Representative,65,WAYNE W. FORD,Democrat,Total,7870
State Representative,65,DAVID BARNETT,Republican,Total,3422
State Representative,65,OVER VOTES,,Total,6
State Representative,65,UNDER VOTES,,Total,788
State Representative,65,SCATTERING,,Total,41
State Representative,65,TOTAL,,Total,12127
State Representative,66,AKO ABDUL- SAMAD,Democrat,Polk,6734
State Representative,66,CHRIS MOELLER,Green,Polk,1889
State Representative,66,OVER VOTES,,Polk,10
State Representative,66,UNDER VOTES,,Polk,1612
State Representative,66,SCATTERING,,Polk,58
State Representative,66,TOTAL,,Polk,10303
State Representative,66,AKO ABDUL- SAMAD,Democrat,Total,6734
State Representative,66,CHRIS MOELLER,Green,Total,1889
State Representative,66,OVER VOTES,,Total,10
State Representative,66,UNDER VOTES,,Total,1612
State Representative,66,SCATTERING,,Total,58
State Representative,66,TOTAL,,Total,10303
State Representative,67,KEVIN MCCARTHY,Democrat,Polk,9412
State Representative,67,LARRY DISNEY,Republican,Polk,5204
State Representative,67,OVER VOTES,,Polk,7
State Representative,67,UNDER VOTES,,Polk,645
State Representative,67,SCATTERING,,Polk,17
State Representative,67,TOTAL,,Polk,15285
State Representative,67,KEVIN MCCARTHY,Democrat,Total,9412
State Representative,67,LARRY DISNEY,Republican,Total,5204
State Representative,67,OVER VOTES,,Total,7
State Representative,67,UNDER VOTES,,Total,645
State Representative,67,SCATTERING,,Total,17
State Representative,67,TOTAL,,Total,15285
State Representative,68,RICK L. OLSON,Democrat,Polk,8671
State Representative,68,LARRY VOORHEES,Republican,Polk,4267
State Representative,68,OVER VOTES,,Polk,1
State Representative,68,UNDER VOTES,,Polk,745
State Representative,68,SCATTERING,,Polk,21
State Representative,68,TOTAL,,Polk,13705
State Representative,68,RICK L. OLSON,Democrat,Total,8671
State Representative,68,LARRY VOORHEES,Republican,Total,4267
State Representative,68,OVER VOTES,,Total,1
State Representative,68,UNDER VOTES,,Total,745
State Representative,68,SCATTERING,,Total,21
State Representative,68,TOTAL,,Total,13705
State Representative,69,RICHARD SOSALLA,Democrat,Polk,9111
State Representative,69,ERIK HELLAND,Republican,Polk,14228
State Representative,69,OVER VOTES,,Polk,6
State Representative,69,UNDER VOTES,,Polk,1908
State Representative,69,SCATTERING,,Polk,28
State Representative,69,TOTAL,,Polk,25281
State Representative,69,RICHARD SOSALLA,Democrat,Total,9111
State Representative,69,ERIK HELLAND,Republican,Total,14228
State Representative,69,OVER VOTES,,Total,6
State Representative,69,UNDER VOTES,,Total,1908
State Representative,69,SCATTERING,,Total,28
State Representative,69,TOTAL,,Total,25281
State Representative,70,MATT PFALTZGRAF,Democrat,Polk,10355
State Representative,70,KEVIN KOESTER,Republican,Polk,12043
State Representative,70,OVER VOTES,,Polk,5
State Representative,70,UNDER VOTES,,Polk,897
State Representative,70,SCATTERING,,Polk,13
State Representative,70,TOTAL,,Polk,23313
State Representative,70,MATT PFALTZGRAF,Democrat,Total,10355
State Representative,70,KEVIN KOESTER,Republican,Total,12043
State Representative,70,OVER VOTES,,Total,5
State Representative,70,UNDER VOTES,,Total,897
State Representative,70,SCATTERING,,Total,13
State Representative,70,TOTAL,,Total,23313
State Representative,71,PAT VANZANTE,Democrat,Jasper,537
State Representative,71,JIM VAN ENGELENHOVEN,Republican,Jasper,719
State Representative,71,OVER VOTES,,Jasper,0
State Representative,71,UNDER VOTES,,Jasper,68
State Representative,71,SCATTERING,,Jasper,0
State Representative,71,TOTAL,,Jasper,1324
State Representative,71,PAT VANZANTE,Democrat,Marion,5292
State Representative,71,JIM VAN ENGELENHOVEN,Republican,Marion,8723
State Representative,71,OVER VOTES,,Marion,2
State Representative,71,UNDER VOTES,,Marion,633
State Representative,71,SCATTERING,,Marion,13
State Representative,71,TOTAL,,Marion,14663
State Representative,71,PAT VANZANTE,Democrat,Total,5829
State Representative,71,JIM VAN ENGELENHOVEN,Republican,Total,9442
State Representative,71,OVER VOTES,,Total,2
State Representative,71,UNDER VOTES,,Total,701
State Representative,71,SCATTERING,,Total,13
State Representative,71,TOTAL,,Total,15987
State Representative,72,JAMES DEMICHELIS JR.,Democrat,Lucas,1147
State Representative,72,RICHARD D. ARNOLD,Republican,Lucas,3206
State Representative,72,OVER VOTES,,Lucas,0
State Representative,72,UNDER VOTES,,Lucas,0
State Representative,72,SCATTERING,,Lucas,8
State Representative,72,TOTAL,,Lucas,4361
State Representative,72,JAMES DEMICHELIS JR.,Democrat,Mahaska,813
State Representative,72,RICHARD D. ARNOLD,Republican,Mahaska,2388
State Representative,72,OVER VOTES,,Mahaska,0
State Representative,72,UNDER VOTES,,Mahaska,0
State Representative,72,SCATTERING,,Mahaska,4
State Representative,72,TOTAL,,Mahaska,3205
State Representative,72,JAMES DEMICHELIS JR.,Democrat,Marion,1106
State Representative,72,RICHARD D. ARNOLD,Republican,Marion,1152
State Representative,72,OVER VOTES,,Marion,0
State Representative,72,UNDER VOTES,,Marion,193
State Representative,72,SCATTERING,,Marion,1
State Representative,72,TOTAL,,Marion,2452
State Representative,72,JAMES DEMICHELIS JR.,Democrat,Monroe,1343
State Representative,72,RICHARD D. ARNOLD,Republican,Monroe,2297
State Representative,72,OVER VOTES,,Monroe,0
State Representative,72,UNDER VOTES,,Monroe,266
State Representative,72,SCATTERING,,Monroe,1
State Representative,72,TOTAL,,Monroe,3907
State Representative,72,JAMES DEMICHELIS JR.,Democrat,Total,4409
State Representative,72,RICHARD D. ARNOLD,Republican,Total,9043
State Representative,72,OVER VOTES,,Total,0
State Representative,72,UNDER VOTES,,Total,459
State Representative,72,SCATTERING,,Total,14
State Representative,72,TOTAL,,Total,13925
State Representative,73,MAXINE R. BUSSANMAS,Democrat,Dallas,749
State Representative,73,JODI TYMESON,Republican,Dallas,1500
State Representative,73,OVER VOTES,,Dallas,1
State Representative,73,UNDER VOTES,,Dallas,113
State Representative,73,SCATTERING,,Dallas,3
State Representative,73,TOTAL,,Dallas,2366
State Representative,73,MAXINE R. BUSSANMAS,Democrat,Madison,2883
State Representative,73,JODI TYMESON,Republican,Madison,5394
State Representative,73,OVER VOTES,,Madison,2
State Representative,73,UNDER VOTES,,Madison,251
State Representative,73,SCATTERING,,Madison,7
State Representative,73,TOTAL,,Madison,8537
State Representative,73,MAXINE R. BUSSANMAS,Democrat,Warren,2916
State Representative,73,JODI TYMESON,Republican,Warren,3604
State Representative,73,OVER VOTES,,Warren,1
State Representative,73,UNDER VOTES,,Warren,0
State Representative,73,SCATTERING,,Warren,3
State Representative,73,TOTAL,,Warren,6524
State Representative,73,MAXINE R. BUSSANMAS,Democrat,Total,6548
State Representative,73,JODI TYMESON,Republican,Total,10498
State Representative,73,OVER VOTES,,Total,4
State Representative,73,UNDER VOTES,,Total,364
State Representative,73,SCATTERING,,Total,13
State Representative,73,TOTAL,,Total,17427
State Representative,74,MARK DAVITT,Democrat,Warren,8683
State Representative,74,KENT SORENSON,Republican,Warren,8846
State Representative,74,OVER VOTES,,Warren,4
State Representative,74,UNDER VOTES,,Warren,0
State Representative,74,SCATTERING,,Warren,18
State Representative,74,TOTAL,,Warren,17551
State Representative,74,MARK DAVITT,Democrat,Total,8683
State Representative,74,KENT SORENSON,Republican,Total,8846
State Representative,74,OVER VOTES,,Total,4
State Representative,74,UNDER VOTES,,Total,0
State Representative,74,SCATTERING,,Total,18
State Representative,74,TOTAL,,Total,17551
State Representative,75,ERIC J. PALMER,Democrat,Mahaska,3754
State Representative,75,DANNY CARROLL,Republican,Mahaska,3597
State Representative,75,OVER VOTES,,Mahaska,4
State Representative,75,UNDER VOTES,,Mahaska,0
State Representative,75,SCATTERING,,Mahaska,3
State Representative,75,TOTAL,,Mahaska,7358
State Representative,75,ERIC J. PALMER,Democrat,Poweshiek,4361
State Representative,75,DANNY CARROLL,Republican,Poweshiek,3270
State Representative,75,OVER VOTES,,Poweshiek,0
State Representative,75,UNDER VOTES,,Poweshiek,0
State Representative,75,SCATTERING,,Poweshiek,8
State Representative,75,TOTAL,,Poweshiek,7639
State Representative,75,ERIC J. PALMER,Democrat,Total,8115
State Representative,75,DANNY CARROLL,Republican,Total,6867
State Representative,75,OVER VOTES,,Total,4
State Representative,75,UNDER VOTES,,Total,0
State Representative,75,SCATTERING,,Total,11
State Representative,75,TOTAL,,Total,14997
State Representative,76,JIM VAN SCOYOC,Democrat,Iowa,2565
State Representative,76,BETTY R. DEBOEF,Republican,Iowa,3782
State Representative,76,OVER VOTES,,Iowa,4
State Representative,76,UNDER VOTES,,Iowa,0
State Representative,76,SCATTERING,,Iowa,8
State Representative,76,TOTAL,,Iowa,6359
State Representative,76,JIM VAN SCOYOC,Democrat,Keokuk,1483
State Representative,76,BETTY R. DEBOEF,Republican,Keokuk,3630
State Representative,76,OVER VOTES,,Keokuk,0
State Representative,76,UNDER VOTES,,Keokuk,0
State Representative,76,SCATTERING,,Keokuk,2
State Representative,76,TOTAL,,Keokuk,5115
State Representative,76,JIM VAN SCOYOC,Democrat,Poweshiek,836
State Representative,76,BETTY R. DEBOEF,Republican,Poweshiek,1396
State Representative,76,OVER VOTES,,Poweshiek,0
State Representative,76,UNDER VOTES,,Poweshiek,0
State Representative,76,SCATTERING,,Poweshiek,1
State Representative,76,TOTAL,,Poweshiek,2233
State Representative,76,JIM VAN SCOYOC,Democrat,Tama,211
State Representative,76,BETTY R. DEBOEF,Republican,Tama,225
State Representative,76,OVER VOTES,,Tama,0
State Representative,76,UNDER VOTES,,Tama,74
State Representative,76,SCATTERING,,Tama,1
State Representative,76,TOTAL,,Tama,511
State Representative,76,JIM VAN SCOYOC,Democrat,Total,5095
State Representative,76,BETTY R. DEBOEF,Republican,Total,9033
State Representative,76,OVER VOTES,,Total,4
State Representative,76,UNDER VOTES,,Total,74
State Representative,76,SCATTERING,,Total,12
State Representative,76,TOTAL,,Total,14218
State Representative,77,MARY MASCHER,Democrat,Johnson,11284
State Representative,77,,Nominated By Petition CHRIS L BREWER,Johnson,2421
State Representative,77,OVER VOTES,,Johnson,8
State Representative,77,UNDER VOTES,,Johnson,3782
State Representative,77,SCATTERING,,Johnson,89
State Representative,77,TOTAL,,Johnson,17584
State Representative,77,MARY MASCHER,Democrat,Total,11284
State Representative,77,,Nominated By Petition CHRIS L BREWER,Total,2421
State Representative,77,OVER VOTES,,Total,8
State Representative,77,UNDER VOTES,,Total,3782
State Representative,77,SCATTERING,,Total,89
State Representative,77,TOTAL,,Total,17584
State Representative,78,VICKI LENSING,Democrat,Johnson,15702
State Representative,78,OVER VOTES,,Johnson,1
State Representative,78,UNDER VOTES,,Johnson,4116
State Representative,78,SCATTERING,,Johnson,244
State Representative,78,TOTAL,,Johnson,20063
State Representative,78,VICKI LENSING,Democrat,Total,15702
State Representative,78,OVER VOTES,,Total,1
State Representative,78,UNDER VOTES,,Total,4116
State Representative,78,SCATTERING,,Total,244
State Representative,78,TOTAL,,Total,20063
State Representative,79,REBECCA SPEARS,Democrat,Cedar,2891
State Representative,79,JEFF KAUFMANN,Republican,Cedar,6385
State Representative,79,OVER VOTES,,Cedar,0
State Representative,79,UNDER VOTES,,Cedar,426
State Representative,79,SCATTERING,,Cedar,6
State Representative,79,TOTAL,,Cedar,9708
State Representative,79,REBECCA SPEARS,Democrat,Johnson,687
State Representative,79,JEFF KAUFMANN,Republican,Johnson,557
State Representative,79,OVER VOTES,,Johnson,0
State Representative,79,UNDER VOTES,,Johnson,142
State Representative,79,SCATTERING,,Johnson,1
State Representative,79,TOTAL,,Johnson,1387
State Representative,79,REBECCA SPEARS,Democrat,Muscatine,1184
State Representative,79,JEFF KAUFMANN,Republican,Muscatine,2514
State Representative,79,OVER VOTES,,Muscatine,1
State Representative,79,UNDER VOTES,,Muscatine,134
State Representative,79,SCATTERING,,Muscatine,1
State Representative,79,TOTAL,,Muscatine,3834
State Representative,79,REBECCA SPEARS,Democrat,Total,4762
State Representative,79,JEFF KAUFMANN,Republican,Total,9456
State Representative,79,OVER VOTES,,Total,1
State Representative,79,UNDER VOTES,,Total,702
State Representative,79,SCATTERING,,Total,8
State Representative,79,TOTAL,,Total,14929
State Representative,80,NATHAN K REICHERT,Democrat,Muscatine,7299
State Representative,80,ROBERT E. HOWARD,Republican,Muscatine,5812
State Representative,80,OVER VOTES,,Muscatine,1
State Representative,80,UNDER VOTES,,Muscatine,415
State Representative,80,SCATTERING,,Muscatine,4
